"Entity,Code,Year,GDP per capita (USD),Life satisfaction"
Afghanistan,AF,2015,2068.2659,3.36
Albania,ALB,2015,11878.454,4.655
Algeria,DZA,2015,11696.95,3.866
Angola,AGO,2015,8036.411,6.65
Argentina,ARG,2015,23933.887,4.36
Armenia,ARM,2015,11321.333,7.313
Aruba,ABW,2015,37715.926,7.119
Australia,AUS,2015,47569.293,5.291
Austria,AUT,2015,52873.86,6.218
Azerbaijan,AZE,2015,14852.611,4.643
Bahamas,BHS,2015,36023.594,5.802
Bahrain,BHR,2015,48110.734,6.929
Bangladesh,BGD,2015,3700.1108,5.956
Barbados,BRB,2015,15382.766,3.484
Belarus,BLR,2015,18362.746,5.196
Belgium,BEL,2015,49456.4,5.822
Belize,BLZ,2015,7358.6187,3.974
Benin,BEN,2015,2945.9702,6.952
Bermuda,BMU,2015,77842.75,4.217
Bhutan,BTN,2015,10086.073,3.739
Bolivia,BOL,2015,7984.412,2.905
osnia and Herzegovina,BIH,2015,12630.667,3.907
Botswana,BWA,2015,14895.905,4.513
Brazil,BRA,2015,15064.176,7.404
Brunei,BRN,2015,63147.4843.763
Bulgaria,BGR,2015,19988.225,6.705
Burkina Faso,BFA,2015,1925.332,5.245
Burundi,BDI,2015,825.2057,6.481
Cambodia,KHM,2015,3541.3767,3.956
Cameroon,CMR,2015,3570.4246,4.236
Canada,CAN,2015,47522.14,3.916
Cape Verde,CPV,2015,6266.882,5.488
Cayman Islands,CYM,2015,67241.28,5.546
Central African Republic,CAF,2015,852.7492,6.596
Chad,TCD,2015,1857.1079,7.526
China,CHN,2015,12612.352,5.976
Colombia,COL,2015,14095.748,6.068
Comoros,COM,2015,2959.498,4.508
Congo,COG,2015,5224.3022,7.413
